,clip,fips_code,census_id,range,township,section,quarter_section,municipality_name,municipality_code,jurisdiction_county_code,town_code,tax_rate_area_code,tax_district_county,municipality_tax_district,school_district,fire_district,water_district,elementary_school_district_county_description,high_school_district_county_description,neighborhood_description,cbsa,cbsa_type,land_use_code,county_use_description,zoning_code,zoning_code_description,property_indicator_code,number_of_buildings,view_code,location_influence_code,lat,lon,owner_1_corporate_indicator,owner_2_corporate_indicator,owner_3_corporate_indicator,owner_4_corporate_indicator,owner_occupancy_code,total_value_calculated,land_value_calculated,improvement_value_calculated,calculated_value_source_code,assessed_total_value,assessed_land_value,assessed_improvement_value,market_total_value,market_land_value,market_improvement_value,appraised_total_value,appraised_land_value,appraised_improvement_value,tax_amount,tax_year,assessed_year,tax_total_rate_percent,taxable_improvement_value,taxable_land_value,taxable_other_value,net_taxable_amount,front_footage,depth_footage,acres,land_square_footage,year_built,effective_year_built,bedrooms_all_buildings,total_rooms_all_buildings,total_bathrooms_all_buildings,number_of_bathrooms,construction_type_code,number_of_parking_spaces,parking_type_code,building_quality_code,stories_code,stories_number,building_style_code,number_of_units,universal_building_square_feet,universal_building_square_feet_source_code,building_square_feet,living_square_feet_all_buildings,ground_floor_square_feet,building_gross_square_feet,adjusted_gross_square_feet,last_assessor_update_date,total_square_footage_open_areas,total_square_footage_all_buildings,total_number_of_1_bedrooms,total_number_of_2_bedrooms,total_number_of_3_bedrooms,total_number_of_efficiency_units,build_age,effective_build_age,adjustment_note
685,5246492080,6037,2317101004,,,,,,,,,6660,,,,,,,,,31080,,106,APARTMENT,LAC2,,22,1,,,34.006947,-118.291176,,,,,O,335072,262238,72834,A,47867.4285714286,37462.5714285714,10404.8571428571,,,,,,,4904.95,2015,2015,,,,,328072,,,0.259,1611.42857142857,1914,1920,1,,7,7,FRM,,OSP,QFA,,1,,7,3556,B,3556,508,,,,2015-12-07,,3556,,,,,101,95,Original
686,4327954861,6037,1851002013,,,,,,,,,4,,,,,,,,,31080,,165,MULTI-FAMILY 3-UNIT,LARD2,,21,1,,,34.10299,-118.2031,,,,,A,200119,102992,97127,A,66706.3333333333,34330.6666666667,32375.6666666667,,,,,,,2733.76,2015,2015,,97127,102992,,200119,,,0.1509,2191,1915,1925,1.33333333333333,,4,4,MAS,,,,,3,,3,2520,L,,840,,2520,,2015-12-07,,2520,,,,,100,90,Original
687,3120856416,6037,6204004020,,,,,,,,,6174,,,,,,,,,31080,,106,APARTMENT,MNRH,,22,1,,,33.88765,-118.3907,Y,,,,A,3314935,1733966,1580969,A,301357.727272727,157633.272727273,143724.454545455,,,,,,,38072.22,2015,2015,,1580969,1733966,,3314935,,,0.2526,1000.27272727273,1961,1961,2,,12,12,,,,,,,,11,10326,B,10326,938.727272727273,,,,2015-12-07,,10326,,,,,54,54,Original
688,2442760764,6037,2976022012,,,,,,,,,14,,,,,,,,,31080,,112,CONDOMINIUM,LAR2,,11,1,,,33.711199,-118.290971,,,,,O,284532,136701,147831,A,284532,136701,147831,,,,,,,3492.73,2015,2015,,147831,136701,,284532,,,0.1642,1430.8,1989,1989,2,,3,3,,,,,,,,5,1188,L,,1188,,,,2015-12-07,,,,,,,26,26,Original
689,7703120403,6037,1203003003,,,,,,,,,13,,,,,,,,,31080,,163,SINGLE FAMILY RESID,LAR1,,10,1,,,34.21724,-118.4459,,,,,O,316442,258083,58359,A,316442,258083,58359,,,,,,,3942.56,2015,2015,,58359,258083,,316442,55,100,0.1277,5562,1949,1949,2,4,1,1,,1,450,QAV,,1,CNT,,852,L,,852,,,,2015-12-07,,,,,,,66,66,Original
690,3254499487,6037,1343051001,,,,,,,,,16,,,,,,,,,31080,,106,APARTMENT,LAR3,,22,1,,,34.21589,-118.6013,,,,,A,857669,257891,599778,A,85766.9,25789.1,59977.8,,,,,,,11278.65,2015,2015,,599778,257891,,857669,,,0.2169,944.9,1959,1959,1,,10,10,,,140,QAV,,2,,10,7434,B,7434,743.4,,,,2015-12-07,,7434,,,,,56,56,Original
691,,6037,6212012015,,,,,,,,,8055,,,,,,,,,31080,,115,DUPLEX,RBR-3,,21,2,,,33.844737,-118.384787,,,,,O,665996,665996,,A,166499,166499,,,,,,,,7880.83,2015,2015,,,665996,,665996,53,126,0.1579,1719.75,,,2,,8,4,,,,,,,,4,3106,L,,1639,,,,2015-12-07,,,,,,,,,"Upper outlier, cap bedroom"
692,7706515121,6037,9200354000,,,,,,,,,331,,,,,,SULPHUR SPRINGS UN,WILLIAM S HART UN,,31080,,163,SINGLE FAMILY RESID,SCUR2,,10,1,VCN,,34.426593,-118.459323,,,,,O,202215,95448,106767,A,202215,95448,106767,,,,,,,2986.23,2015,2015,,,,,195215,70,107,0.168,7318,1963,1963,5,7,2,2,FRM,2,450,QAV,,1,CON,,1402,L,,1402,,,,2015-12-07,,,,,,,52,52,Original
693,8281464043,6037,1863013000,,,,,,,,,13,,,,,,,,,31080,,106,APARTMENT,LARD2,,22,1,,,34.12051,-118.2416,,,,,A,489400,331237,158163,A,97880,66247.4,31632.6,,,,,,,6589.43,2015,2015,,158163,331237,,489400,,,0.2424,2111.8,1962,1962,2,,5,5,,,,,,,,5,4464,B,4464,892.8,,,,2015-12-07,,4464,,,,,53,53,Original
694,3155205950,6037,2765002005,,,,,,,,,68,,,,,,,,,31080,,163,SINGLE FAMILY RESID,LAR1,,10,1,,,33.967188,-118.420021,,,,,O,877182,678184,198998,A,877182,678184,198998,,,,,,,10504.26,2015,2015,,,,,870182,42,115,0.1109,4831,1950,1955,3,6,2,2,,2,OTP,QAV,,1,CON,,1414,L,,1414,,,,2015-12-07,,,,,,,65,60,Original
695,8053817014,6037,5515011008,,,,,,,,,3304,,,,,,,,,31080,,106,APARTMENT,DOR3-P*,,22,1,,,33.938457,-118.154642,Y,Y,,,A,1800399,595311,1205088,A,128599.928571429,42522.2142857143,86077.7142857143,,,,,,,23771.36,2015,2015,,1205088,595311,,1800399,,,0.5534,1721.85714285714,1969,1969,2,,3,3,,,140,QAV,,2,,14,14466,G,14466,1033.28571428571,,14466,,2015-12-07,,14466,,,,,46,46,Original
696,1091706885,6037,5425011004,,,,,,,,,2800,,,,,,,,,31080,,106,APARTMENT,CORH,,22,1,,,33.89188,-118.2362,Y,,,,A,8130797,4918131,3212666,A,49578.0304878049,29988.6036585366,19589.4268292683,,,,,,,158594.4,2015,2015,,3212666,4918131,,8130797,,,8.0196,2130.09146341463,1973,1985,,,,,,,,,,,,164,165803,B,165803,1010.99390243902,,,,2015-12-07,,165803,,,,,42,30,Original
697,2942774684,6037,2048101001,,,,,,,,,4,,,,,,,,,31080,,106,APARTMENT,LAR2,,22,1,,,34.0325,-118.2058,,,,,A,103989,18128,85861,A,20797.8,3625.6,17172.2,,,,,,,1927.11,2015,2015,,85861,18128,,103989,,,0.1262,1099.8,1968,1968,1.8,,6,6,,,,,,,,5,3650,B,3650,730,,,,2015-12-07,,3650,,,,,47,47,Original
698,3458158987,6059,320231022,,,,,,,,,10054,,,,,,,,,31080,,163,SINGLE FAM RESIDENCE,,,10,1,,,33.477847,-117.595477,,,,,O,294131,294131,,A,294131,294131,,,,,,,,10270.16,2015,2015,,,294131,,294131,,,0.2012,8764,,,,,,,,,,,,,,,,,,,,,,2015-12-14,,,,,,,,,Original
699,2036536883,6059,525201001,,,,,,,,,26131,,,,,,,,,31080,,112,CONDOMINIUM,CONDO,,11,1,,,33.67446,-117.8123,,,,,A,800684,617600,183084,A,800684,617600,183084,,,,,,,8304.44,2015,2015,,183084,617600,,800684,,,,,1981,,4,3,3,,,2,140,QGO,,2,,,2101,L,2101,2101,,,,2015-12-14,,2101,,,,,34,34,Original
